ORF Complex
YAL051W OAF_complex
YOR363C OAF_complex
YBL099W F0/F1_ATP_synthase_(complex_V)
YLR295C F0/F1_ATP_synthase_(complex_V)
YPL271W F0/F1_ATP_synthase_(complex_V)
YDL004W F0/F1_ATP_synthase_(complex_V)
YDR377W F0/F1_ATP_synthase_(complex_V)
YML081C-A F0/F1_ATP_synthase_(complex_V)
YOL077W-A F0/F1_ATP_synthase_(complex_V)
YJR121W F0/F1_ATP_synthase_(complex_V)
YPR020W F0/F1_ATP_synthase_(complex_V)
YBR039W F0/F1_ATP_synthase_(complex_V)
YPL078C F0/F1_ATP_synthase_(complex_V)
YDR298C F0/F1_ATP_synthase_(complex_V)
Q0085 F0/F1_ATP_synthase_(complex_V)
YKL016C F0/F1_ATP_synthase_(complex_V)
Q0080 F0/F1_ATP_synthase_(complex_V)
YDL181W F0/F1_ATP_synthase_(complex_V)
Q0130 F0/F1_ATP_synthase_(complex_V)
YDR322C-A F0/F1_ATP_synthase_(complex_V)
YCR046C mitochondrial_ribosomal_large_subunit
YCR071C mitochondrial_ribosomal_large_subunit
YGL068W mitochondrial_ribosomal_large_subunit
YDR405W mitochondrial_ribosomal_large_subunit
YKL167C mitochondrial_ribosomal_large_subunit
YNL005C mitochondrial_ribosomal_large_subunit
YDR116C mitochondrial_ribosomal_large_subunit
YNL284C mitochondrial_ribosomal_large_subunit
YDL202W mitochondrial_ribosomal_large_subunit
YKR006C mitochondrial_ribosomal_large_subunit
YLR312W-A mitochondrial_ribosomal_large_subunit
YBL038W mitochondrial_ribosomal_large_subunit
YNL252C mitochondrial_ribosomal_large_subunit
YNL185C mitochondrial_ribosomal_large_subunit
YKR085C mitochondrial_ribosomal_large_subunit
YNL177C mitochondrial_ribosomal_large_subunit
YOR150W mitochondrial_ribosomal_large_subunit
YMR193W mitochondrial_ribosomal_large_subunit
YGR076C mitochondrial_ribosomal_large_subunit
YBR282W mitochondrial_ribosomal_large_subunit
YDR462W mitochondrial_ribosomal_large_subunit
YMR024W mitochondrial_ribosomal_large_subunit
YKL138C mitochondrial_ribosomal_large_subunit
YCR003W mitochondrial_ribosomal_large_subunit
YMR286W mitochondrial_ribosomal_large_subunit
YDR322W mitochondrial_ribosomal_large_subunit
YBR122C mitochondrial_ribosomal_large_subunit
YBR268W mitochondrial_ribosomal_large_subunit
YKL170W mitochondrial_ribosomal_large_subunit
YML009C mitochondrial_ribosomal_large_subunit
YLR439W mitochondrial_ribosomal_large_subunit
YPL173W mitochondrial_ribosomal_large_subunit
YMR225C mitochondrial_ribosomal_large_subunit
YJL096W mitochondrial_ribosomal_large_subunit
YNR022C mitochondrial_ribosomal_large_subunit
YPR100W mitochondrial_ribosomal_large_subunit
YHR147C mitochondrial_ribosomal_large_subunit
YDR237W mitochondrial_ribosomal_large_subunit
YJL063C mitochondrial_ribosomal_large_subunit
YGR220C mitochondrial_ribosomal_large_subunit
YEL050C mitochondrial_ribosomal_large_subunit
YDR115W mitochondrial_ribosomal_large_subunit
YML025C mitochondrial_ribosomal_large_subunit
YPL183W-A mitochondrial_ribosomal_large_subunit
YHR060W ER_V-ATPase_assembly_complex
YKL119C ER_V-ATPase_assembly_complex
YBR050C Reg2p/Glc7p_complex
YER133W Reg2p/Glc7p_complex
YER029C U5_snRNP_complex
YGR074W U5_snRNP_complex
YLR275W U5_snRNP_complex
YLR147C U5_snRNP_complex
YOR159C U5_snRNP_complex
YFL017W-A U5_snRNP_complex
YPR182W U5_snRNP_complex
YKL173W U5_snRNP_complex
YBL074C U5_snRNP_complex
YER172C U5_snRNP_complex
YHR165C U5_snRNP_complex
YDR243C U5_snRNP_complex
YHR156C U5_snRNP_complex
YPR082C U5_snRNP_complex
YCR066W Rad6p/Rad18p_complex
YGL058W Rad6p/Rad18p_complex
YGL087C ubiquitin_conjugating_enzyme_complex
YDR092W ubiquitin_conjugating_enzyme_complex
YCR009C Rvs161p/Rvs167p_complex
YDR388W Rvs161p/Rvs167p_complex
YML105C Signal_recognition_particle_(SRP)
YDL092W Signal_recognition_particle_(SRP)
YKL122C Signal_recognition_particle_(SRP)
YPR088C Signal_recognition_particle_(SRP)
YPL243W Signal_recognition_particle_(SRP)
YPL210C Signal_recognition_particle_(SRP)
YMR042W ARGR_complex
YML099C ARGR_complex
YDR173C ARGR_complex
YMR043W ARGR_complex
YGL033W Hop2p/Mnd1p_complex
YGL183C Hop2p/Mnd1p_complex
YPL004C Eisosome
YGR086C Eisosome
YIL142W chaperonin-containing_T-complex
YJL014W chaperonin-containing_T-complex
YDL143W chaperonin-containing_T-complex
YJR064W chaperonin-containing_T-complex
YDR188W chaperonin-containing_T-complex
YJL111W chaperonin-containing_T-complex
YJL008C chaperonin-containing_T-complex
YDR212W chaperonin-containing_T-complex
YDR138W THO_complex
YML062C THO_complex
YNL139C THO_complex
YHR167W THO_complex
YDR180W cohesin_loading_factor_complex
YER147C cohesin_loading_factor_complex
YPL219W Pho85p/Pcl8p_complex
YPL031C Pho85p/Pcl8p_complex
YKR054C cytoplasmic_dynein_complex
YDR424C cytoplasmic_dynein_complex
YMR299C cytoplasmic_dynein_complex
YDR488C cytoplasmic_dynein_complex
YGL047W UDP-N-acetylglucosamine_transferase_complex
YBR070C UDP-N-acetylglucosamine_transferase_complex
YLR398C Ski_Complex
YPR189W Ski_Complex
YGL213C Ski_Complex
YPL129W transcription_factor_TFIIF_complex
YGR186W transcription_factor_TFIIF_complex
YGR005C transcription_factor_TFIIF_complex
YJR033C RAVE_complex
YDR202C RAVE_complex
YDR328C RAVE_complex
YPL094C Sec62p/Sec63p_complex
YOR254C Sec62p/Sec63p_complex
YBR171W Sec62p/Sec63p_complex
YLR292C Sec62p/Sec63p_complex
YGR200C Elongator_complex
YPL086C Elongator_complex
YPL101W Elongator_complex
YMR312W Elongator_complex
YHR187W Elongator_complex
YLR384C Elongator_complex
YJR082C NuA3_histone_acetyltransferase_complex
YBL052C NuA3_histone_acetyltransferase_complex
YPL129W NuA3_histone_acetyltransferase_complex
YOR064C NuA3_histone_acetyltransferase_complex
YPR031W NuA3_histone_acetyltransferase_complex
