orf	name	type	betw
YBL058W	SHP1	S	0.00013
YBL059C-A	CMC2	S	2e-05
YBL059W	YBL059W	S	0.00022
YBL060W	YEL1	S	2e-05
YBL061C	SKT5	S	1e-05
YBL063W	KIP1	S	0.0
YBL064C	PRX1	S	1e-05
YBL066C	SEF1	S	0.0
YBL067C	UBP13	S	0.0
YBL068W	PRS4	S	5e-05
YBL069W	AST1	S	0.0
YBL071C-B	YBL071C-B	S	0.0
YBL071W-A	KTI11	S	0.0
YBL076C	ILS1	S	0.00106
YBL078C	ATG8	S	0.00011
YBL080C	PET112	S	1e-05
YBL081W	YBL081W	S	5e-05
YBL082C	ALG3	S	1e-05
YBL085W	BOI1	S	0.00157
YBL086C	YBL086C	S	2e-05
YBL088C	TEL1	S	5e-05
YBL089W	AVT5	S	0.00013
YBL091C	MAP2	S	3e-05
YBL091C-A	SCS22	S	0.00014
YBL095W	YBL095W	S	0.0
YBL098W	BNA4	S	0.00018
YBL100W-A	YBL100W-A	S	0.00014
YBL100W-B	YBL100W-B	S	0.00242
YBL101C	ECM21	S	0.00094
YBL102W	SFT2	S	0.00042
YBL104C	SEA4	S	0.0
YBL105C	PKC1	S	2e-05
YBL106C	SRO77	S	0.00029
YBL107C	MIX23	S	0.0168
YBL111C	YBL111C	S	0.0
YBL112C	YBL112C	S	3e-05
YBL113C	YBL113C	S	0.00028
YBR001C	NTH2	S	0.00136
YBR002C	RER2	S	0.0007
YBR003W	COQ1	S	0.00021
YBR004C	GPI18	S	3e-05
YBR005W	RCR1	S	0.0
YBR006W	UGA2	S	0.0
YBR007C	DSF2	S	0.00024
YBR008C	FLR1	S	0.00066
YBR011C	IPP1	S	0.00021
YBR012W-A	YBR012W-A	S	6e-05
YBR012W-B	YBR012W-B	S	0.0
YBR013C	YBR013C	S	0.0
YBR014C	GRX7	S	0.0
YBR015C	MNN2	S	0.00017
YBR016W	YBR016W	S	4e-05
YBR017C	KAP104	S	0.00028
YBR018C	GAL7	S	0.00015
YBR019C	GAL10	S	5e-05
YBR020W	GAL1	S	0.00012
YBR021W	FUR4	S	0.0
YBR022W	POA1	S	0.0
YBR023C	CHS3	S	0.00093
YBR024W	SCO2	S	0.0
YBR025C	OLA1	S	0.0
YBR026C	ETR1	S	5e-05
YBR028C	YPK3	S	1e-05
YBR029C	CDS1	S	9e-05
YBR030W	RKM3	S	0.0
YBR033W	EDS1	S	3e-05
YBR034C	HMT1	S	7e-05
YBR035C	PDX3	S	7e-05
YBR037C	SCO1	S	1e-05
YBR038W	CHS2	S	0.00316
YBR040W	FIG1	S	1e-05
YBR042C	CST26	S	5e-05
YBR043C	QDR3	S	4e-05
YBR044C	TCM62	S	2e-05
YBR046C	ZTA1	S	7e-05
YBR047W	FMP23	S	2e-05
YBR049C	REB1	S	0.00011
YBR052C	RFS1	S	2e-05
YBR053C	YBR053C	S	5e-05
YBR054W	YRO2	S	0.00019
YBR056W	YBR056W	S	3e-05
YBR056W-A	YBR056W-A	S	3e-05
YBR057C	MUM2	S	4e-05
YBR058C	UBP14	S	4e-05
YBR058C-A	TSC3	S	6e-05
YBR059C	AKL1	S	0.0007
YBR061C	TRM7	S	1e-05
YBR062C	YBR062C	S	0.0
YBR063C	YBR063C	S	2e-05
YBR065C	ECM2	S	0.0
YBR066C	NRG2	S	1e-05
YBR067C	TIP1	S	5e-05
YBR068C	BAP2	S	5e-05
YBR069C	TAT1	S	2e-05
YBR071W	YBR071W	S	0.00082
YBR072W	HSP26	S	7e-05
YBR073W	RDH54	S	0.0
YBR074W	PFF1	S	3e-05
YBR078W	ECM33	S	0.00066
YBR080C	SEC18	S	1e-05
YBR082C	UBC4	S	0.0
YBR083W	TEC1	S	0.0
YBR084W	MIS1	S	5e-05
YBR085C-A	YBR085C-A	S	0.0
YBR085W	AAC3	S	1e-05
YBR086C	IST2	S	0.0
YBR088C	POL30	S	0.0
YBR089C-A	NHP6B	S	9e-05
YBR090C	YBR090C	S	0.0
YBR092C	PHO3	S	1e-05
YBR093C	PHO5	S	7e-05
YBR094W	PBY1	S	0.0
YBR096W	YBR096W	S	0.00019
YBR101C	FES1	S	0.0
YBR104W	YMC2	S	6e-05
YBR106W	PHO88	S	0.00023
YBR107C	IML3	S	9e-05
YBR108W	AIM3	S	0.0
YBR110W	ALG1	S	1e-05
YBR111C	YSA1	S	0.00013
YBR115C	LYS2	S	1e-05
YBR117C	TKL2	S	0.00093
YBR120C	CBP6	S	9e-05
YBR121C	GRS1	S	7e-05
YBR125C	PTC4	S	0.0
YBR126W-A	YBR126W-A	S	6e-05
YBR129C	OPY1	S	4e-05
YBR130C	SHE3	S	0.00129
YBR132C	AGP2	S	2e-05
YBR133C	HSL7	S	1e-05
YBR135W	CKS1	S	0.00023
YBR136W	MEC1	S	1e-05
YBR137W	YBR137W	S	0.00054
YBR138C	YBR138C	S	0.0
YBR139W	YBR139W	S	0.00048
YBR140C	IRA1	S	1e-05
YBR141C	BMT2	S	0.0
YBR142W	MAK5	S	0.0
YBR145W	ADH5	S	0.00045
YBR147W	RTC2	S	0.0
YBR148W	YSW1	S	0.0
YBR149W	ARA1	S	0.0
YBR150C	TBS1	S	0.0
YBR151W	APD1	S	0.0
YBR153W	RIB7	S	2e-05
YBR155W	CNS1	S	0.00046
YBR157C	ICS2	S	0.0
YBR158W	AMN1	S	4e-05
YBR159W	IFA38	S	0.00034
YBR162C	TOS1	S	0.0
YBR162W-A	YSY6	S	3e-05
YBR163W	EXO5	S	0.00054
YBR164C	ARL1	S	0.00046
YBR165W	UBS1	S	0.00166
YBR166C	TYR1	S	0.00036
YBR168W	PEX32	S	2e-05
YBR169C	SSE2	S	2e-05
YBR172C	SMY2	S	0.0
YBR173C	UMP1	S	3e-05
YBR176W	ECM31	S	0.00209
YBR177C	EHT1	S	0.00067
YBR180W	DTR1	S	0.0
YBR182C	SMP1	S	0.0
YBR183W	YPC1	S	1e-05
YBR184W	YBR184W	S	6e-05
YBR185C	MBA1	S	2e-05
YBR186W	PCH2	S	0.00098
YBR187W	GDT1	S	0.0
YBR192W	RIM2	S	0.00032
YBR194W	AIM4	S	0.0
YBR196C	PGI1	S	0.0
YBR197C	YBR197C	S	0.0
YBR199W	KTR4	S	0.0
YBR200W	BEM1	S	0.00014
YBR201C-A	YBR201C-A	S	0.00088
YBR203W	COS111	S	1e-05
YBR204C	LDH1	S	0.0
YBR205W	KTR3	S	0.0
YBR208C	DUR1,2	S	1e-05
YBR210W	ERV15	S	0.00011
YBR212W	NGR1	S	0.0
YBR213W	MET8	S	0.0
YBR214W	SDS24	S	0.0
YBR216C	YBP1	S	0.0
YBR218C	PYC2	S	8e-05
